Wavelength (nm),Raw count,Irradiance (W/m^2/nm),,W/m^2,Total Power
311.135,23.508,0.005118952173913043,5.118952173913043e-05,1.2429250724638614e-05,0.0004914153518133856
311.389,21.508,0.004667859420289855,4.6678594202898544e-05,1.3398115760869326e-05,0.0004914153518133856
311.644,27.508,0.005840466666666667,5.840466666666667e-05,1.4912521067030105e-05,0.0004914153518133856
311.898,27.307,0.005901675905797101,5.9016759057971004e-05,1.562827046195624e-05,0.0004914153518133856
312.153,29.707,0.006355791123188406,6.355791123188406e-05,1.9267099367750763e-05,0.0004914153518133856
312.407,41.307,0.008815153260869566,8.815153260869566e-05,2.3896917038045276e-05,0.0004914153518133856
312.661,47.307,0.010001316847826087,0.00010001316847826086,2.5108026426629982e-05,0.0004914153518133856
312.916,45.106,0.009691252898550724,9.691252898550724e-05,2.310576524637855e-05,0.0004914153518133856
313.17,39.706,0.008502263043478262,8.502263043478263e-05,1.959853281521419e-05,0.0004914153518133856
313.429,30.506,0.006631739130434782,6.631739130434782e-05,1.468834747282691e-05,0.0004914153518133856
313.688,21.705,0.004710614130434782,4.710614130434781e-05,1.097197899456583e-05,0.0004914153518133856
313.947,17.305,0.00376195652173913,3.7619565217391296e-05,8.740623614130923e-06,0.0004914153518133856
314.206,13.905,0.002987559782608695,2.987559782608695e-05,8.736201846013066e-06,0.0004914153518133856
314.465,17.104,0.0037585420289855073,3.758542028985507e-05,1.2731584173913758e-05,0.0004914153518133856
314.724,27.704,0.006072797101449275,6.0727971014492747e-05,1.829509185507349e-05,0.0004914153518133856
314.983,36.504,0.008054686956521739,8.054686956521738e-05,2.2666655260870838e-05,0.0004914153518133856
315.242,43.104,0.009448521739130434,9.448521739130433e-05,2.7152061600539038e-05,0.0004914153518133856
315.501,52.503,0.011518321195652175,0.00011518321195652174,3.224748754348007e-05,0.0004914153518133856
315.76,60.903,0.013383213586956521,0.0001338321358695652,3.527913392119764e-05,0.0004914153518133856
316.019,62.503,0.013859360869565216,0.00013859360869565216,3.5364342809784597e-05,0.0004914153518133856
316.278,60.702,0.013449011956521739,0.0001344901195652174,3.324336730434543e-05,0.0004914153518133856
316.536,55.702,0.012321040217391303,0.00012321040217391302,3.019388780434952e-05,0.0004914153518133856
316.795,49.302,0.010994703260869567,0.00010994703260869566,2.7299559754524532e-05,0.0004914153518133856
317.054,45.301,0.010086037862318842,0.00010086037862318842,2.40200811096028e-05,0.0004914153518133856
317.313,38.101,0.00846228731884058,8.46228731884058e-05,2.1739732266305572e-05,0.0004914153518133856
317.572,37.301,0.008325150724637681,8.325150724637681e-05,2.3611286911233207e-05,0.0004914153518133856
317.831,44.901,0.009907503260869565,9.907503260869565e-05,2.599595621557546e-05,0.0004914153518133856
318.09,45.7,0.010166594202898551,0.00010166594202898551,2.5959494927537687e-05,0.0004914153518133856
318.349,44.7,0.009879347826086956,9.879347826086956e-05,2.6138026630436252e-05,0.0004914153518133856
